GTIN-14,Brand Name,Name,Size,Ingredients,Serving Size,Servings Per Container,Calories,Fat Calories,Fat (g),Saturated Fat (g),Trans Fat (g),Polyunsaturated Fat (g),Monounsaturated Fat (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Carbohydrate (g),Fiber (g),Sugars (g),Protein (g),Author,Format,Publisher,Pages,Alcohol By Volume,Images
00000000959742,Trader Joe's,Turkey Jerky Teriyaki,4 oz,,,,,,,,,,,,,,,,,,,,,,,""
00041250500735,Meijer,Vitamin C 500 mg,100 caplets,,,,,,,,,,,,,,,,,,,,,,,"https://d2b9vdin3yve6y.cloudfront.net/88f38393-672c-4d13-9b94-32951b088591.jpg, https://d2b9vdin3yve6y.cloudfront.net/1964246c-deb0-4ba9-8c42-e6dcd231f9a6.jpg, https://d2b9vdin3yve6y.cloudfront.net/10b6459e-fd55-4a97-8561-59ca10396af4.jpg, https://d2b9vdin3yve6y.cloudfront.net/c5e1720d-dd04-42d3-bc53-eeaeb76b6599.jpg"
09780670022151,,What Technology Wants,,,,,,,,,,,,,,,,,,,,,,,,""
00602652170560,Kind,Plus Peanut Butter Dark Chocolate,1.4 oz,,,,,,,,,,,,,,,,,,,,,,,""
00088395013010,,Carlson Cod Liver Oil Super 1000 mg,100 soft gels,,,,,,,,,,,,,,,,,,,,,,,"https://d2b9vdin3yve6y.cloudfront.net/9309fb9f-a28b-4075-90a7-56deae32a129.jpg, https://d2b9vdin3yve6y.cloudfront.net/82c06488-2cd4-4785-bd19-5eef49e0aad8.jpg, https://d2b9vdin3yve6y.cloudfront.net/17c1a23c-e745-4eb8-9023-9fbd3ba7493c.jpg"
00050255224003,,Ritter Sport Dark Chocolate with Whole Hazelnuts,3.5 oz,,6 pieces,About 3,210,,15.0,6.0,0.0,,,0,0,,16,2,14,2,,,,,,""
00080432106419,Redbreast,Single Pot Still Irish Whiskey 15 Years,750 ml,,,,,,,,,,,,,,,,,,,,,,,https://d2b9vdin3yve6y.cloudfront.net/f8870767-ff9f-49d1-8cfd-580c530df14b.jpg
00859612001024,,21st Amendment Hell or High Watermelon Wheat Beer,6-12 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00018200530470,Crisp melons $1.50,Crisp Melon Seedless Watermelon,,,,,,,,,,,,,,,,,,,,,,,,""
00859612001000,,21st Amendment Hell or High Watermelon,12 fl oz,,,,,,,,,,,,,,,,,,,,,,,""
00037000138082,Tide,Plus Downy Clean Breeze,"50 fl oz, 24 loads",,,,,,,,,,,,,,,,,,,,,,,""
00805002000375,Natural Grooming by Herban Cowboy,Dusk Deodorant,2.8 oz | 80 g,"Propanediol †, Aloe Barbadensis Leaf Juice, Aqua, Sdium Stearate, Mineral Salts, Oryza Sativa (Rice) Starch, Ethylhexylglycerin, Rosmarinus Officinalis (Rosemary) Leaf Extract, Carum Petroselinum (Parsley) Extract, Salvia Officinalis (Sage) Leaf Extract, Allantoin, Bisabolol, Fragrance.
† Natural/Sustainable",,,,,,,,,,,,,,,,,,,,,,"https://d2b9vdin3yve6y.cloudfront.net/769e627b-b090-437a-9af6-8bbbb5684404.jpg, https://d2b9vdin3yve6y.cloudfront.net/2a944ceb-6ec2-4b1e-930b-59af100a326a.jpg"
00321134771643,Safeway,Blue Mint Antiseptic Mouth Rinse,1 L,,,,,,,,,,,,,,,,,,,,,,,""
00381370036913,Aveeno,Clear Complexion Foaming Cleanser,6 fl oz,,,,,,,,,,,,,,,,,,,,,,,"https://d2b9vdin3yve6y.cloudfront.net/5c8c0e5e-c13d-41dd-98ee-bace16ddcec9.jpg, https://d2b9vdin3yve6y.cloudfront.net/ecc1b613-3036-4502-b4ef-1991cdc38888.jpg, https://d2b9vdin3yve6y.cloudfront.net/c23b0efc-950c-486e-bfd0-3bfff3f847f0.jpg, https://d2b9vdin3yve6y.cloudfront.net/40be5450-7cec-4a8a-8db0-43bf294fdc99.jpg, https://d2b9vdin3yve6y.cloudfront.net/ec721440-d68a-487f-969d-0d91a77ca995.jpg"
