Segment Code,Segment Description,Family Code,Family Description,Class Code,Class Description,Brick Code,Brick Description,Core Attribute Type 1 Code,Core Attribute  Type 1 Description,Core Attribute Type 2 Code,Core Attribute  Type 2 Description,Core Attribute Type 3 Code,Core Attribute  Type 3 Description,Core Attribute Type 4 Code,Core Attribute  Type 4 Description,Core Attribute Type 5 Code,Core Attribute  Type 5 Description,Core Attribute Type 6 Code,Core Attribute  Type 6 Description,Core Attribute Type 7 Code,Core Attribute  Type 7 Description,Core Attribute Type 8 Code,Core Attribute  Type 8 Description,Core Attribute Type 9 Code,Core Attribute  Type 9 Description,Core Attribute Type 10 Code,Core Attribute  Type 10 Description,Core Attribute Type 11 Code,Core Attribute  Type 11 Description,Core Attribute Type 12 Code,Core Attribute  Type 12 Description,Core Attribute Type 13 Code,Core Attribute  Type 13 Description,Core Attribute Type 14 Code,Core Attribute  Type 14 Description,Core Attribute Type 15 Code,Core Attribute  Type 15 Description,Core Attribute Type 16 Code,Core Attribute  Type 16 Description,Core Attribute Type 17 Code,Core Attribute  Type 17 Description,Core Attribute Type 18 Code,Core Attribute  Type 18 Description,Core Attribute Type 19 Code,Core Attribute  Type 19 Description,Core Attribute Type 20 Code,Core Attribute  Type 20 Description,Core Attribute Type 21 Code,Core Attribute  Type 21 Description,Core Attribute Type 22 Code,Core Attribute  Type 22 Description,Core Attribute Type 23 Code,Core Attribute  Type 23 Description,Core Attribute Type 24 Code,Core Attribute  Type 24 Description,Core Attribute Type 25 Code,Core Attribute  Type 25 Description
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010200,Airbrushing Supplies,10001686,Airbrushes (Powered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010200,Airbrushing Supplies,10001688,Airbrushing Equipment – Replacement Parts/Accessories,20001349,Type of Airbrushing Equipment – Replacement Part/Accessory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010200,Airbrushing Supplies,10001690,Airbrushing Supplies Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010200,Airbrushing Supplies,10001689,Airbrushing Supplies Variety Packs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010100,Artists Painting/Drawing Supplies,10001682,Artists Accessories,20001345,Type of Artists Accessory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010100,Artists Painting/Drawing Supplies,10001674,Artists Brushes/Applicators,20001337,Type of Artists Brush/Applicator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010100,Artists Painting/Drawing Supplies,10001679,Artists Canvas/Pre-primed Boards,20001342,Type of Artists Canvas/Pre-primed Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010100,Artists Painting/Drawing Supplies,10005372,Artists Drawing Boards,20002304,Desktop/Freestanding,20000805,If Portable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010100,Artists Painting/Drawing Supplies,10001681,Artists Easels,20001344,Type of Artists Easel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010100,Artists Painting/Drawing Supplies,10001678,Artists Painting Surface Agents,20001341,Type of Artists Surface Agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010100,Artists Painting/Drawing Supplies,10001685,Artists Painting/Drawing Supplies Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010100,Artists Painting/Drawing Supplies,10001684,Artists Painting/Drawing Supplies Variety Packs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010100,Artists Painting/Drawing Supplies,10001676,Artists Paints/Dyes,20001339,Type of Artists Paint/Dye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010100,Artists Painting/Drawing Supplies,10001680,Artists Palettes,20001343,Type of Artists Palette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010100,Artists Painting/Drawing Supplies,10001677,Artists Pastels/Charcoal/Crayons,20001340,Type of Artists Pastel/Charcoal/Crayon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70000000,Arts/Crafts/Needlework,70010000,Arts/Crafts/Needlework Supplies,70010100,Artists Painting/Drawing Supplies,10001683,Sand Art Supplies,20001346,Type of Sand Art Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
